dteday,season,yr,mnth,casual,registered,cnt,holiday,weekday
2011-01-01,spring,2011,1,331,654,985,0,6
2011-01-02,spring,2011,1,131,670,801,0,0
2011-01-03,spring,2011,1,120,1229,1349,0,1
2011-01-04,spring,2011,1,108,1454,1562,0,2
2011-01-05,spring,2011,1,82,1518,1600,0,3
2011-01-06,spring,2011,1,88,1518,1606,0,4
2011-01-07,spring,2011,1,148,1362,1510,0,5
2011-01-08,spring,2011,1,68,891,959,0,6
2011-01-09,spring,2011,1,54,768,822,0,0
2011-01-10,spring,2011,1,41,1280,1321,0,1
2011-01-11,spring,2011,1,43,1220,1263,0,2
2011-01-12,spring,2011,1,25,1137,1162,0,3
2011-01-13,spring,2011,1,38,1368,1406,0,4
2011-01-14,spring,2011,1,54,1367,1421,0,5
2011-01-15,spring,2011,1,222,1026,1248,0,6
2011-01-16,spring,2011,1,251,953,1204,0,0
2011-01-18,spring,2011,1,9,674,683,0,2
2011-01-19,spring,2011,1,78,1572,1650,0,3
2011-01-20,spring,2011,1,83,1844,1927,0,4
2011-01-21,spring,2011,1,75,1468,1543,0,5
2011-01-22,spring,2011,1,93,888,981,0,6
2011-01-23,spring,2011,1,150,836,986,0,0
2011-01-24,spring,2011,1,86,1330,1416,0,1
2011-01-25,spring,2011,1,186,1799,1985,0,2
2011-01-26,spring,2011,1,34,472,506,0,3
2011-01-27,spring,2011,1,15,416,431,0,4
2011-01-28,spring,2011,1,38,1129,1167,0,5
2011-01-29,spring,2011,1,123,975,1098,0,6
2011-01-30,spring,2011,1,140,956,1096,0,0
2011-01-31,spring,2011,1,42,1459,1501,0,1
2011-02-01,spring,2011,2,47,1313,1360,0,2
2011-02-02,spring,2011,2,72,1454,1526,0,3
2011-02-03,spring,2011,2,61,1489,1550,0,4
2011-02-04,spring,2011,2,88,1620,1708,0,5
2011-02-05,spring,2011,2,100,905,1005,0,6
2011-02-06,spring,2011,2,354,1269,1623,0,0
2011-02-07,spring,2011,2,120,1592,1712,0,1
2011-02-08,spring,2011,2,64,1466,1530,0,2
2011-02-09,spring,2011,2,53,1552,1605,0,3
2011-02-10,spring,2011,2,47,1491,1538,0,4
2011-02-11,spring,2011,2,149,1597,1746,0,5
2011-02-12,spring,2011,2,288,1184,1472,0,6
2011-02-13,spring,2011,2,397,1192,1589,0,0
2011-02-14,spring,2011,2,208,1705,1913,0,1
2011-02-15,spring,2011,2,140,1675,1815,0,2
